Temperature,Moisture,Rainfall,PH,Nitrogen,Phosphorous,Potassium,Carbon,Soil,Crop,Fertilizer,Remark
23.97778445,0.653504159,33.4641379,6.268583874,57.83669214,68.65131006,50.81215771,1.346903444,Acidic Soil,watermelon,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
22.74627676,0.635683248,202.3305477,4.722667798,65.31062655,46.55843945,56.27639181,1.469124352,Acidic Soil,Tea,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
19.26298597,0.76354118,274.1967289,6.67274393,73.6586746,78.98174473,111.5487021,0.845848141,Loamy Soil,rice,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
31.34301689,0.714550207,75.37938871,5.78388068,58.56635469,-37.64973873,57.10293525,1.54740627,Acidic Soil,grapes,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
25.57928053,0.52764676,156.9638558,5.664224078,68.22312378,55.63885869,50.38985954,-0.280559958,Acidic Soil,Coconut,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
24.10510028,0.400591333,56.97306963,7.985785544,57.35763347,51.98535896,45.96465595,1.837164265,Peaty Soil,Cotton,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
29.29670746,0.717443729,299.5172448,4.929796487,77.75264154,43.56691889,159.5640307,1.024632028,Peaty Soil,Rubber,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
25.8056789,0.70390123,104.98601234,6.80456789,74.78901234,70.78901234,40.12345678,1.81123456,Neutral Soil,tomatoes,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
26.55722342,0.227436131,164.0607697,6.309936809,86.96971052,69.33597271,60.90809589,1.259444211,Acidic Soil,Jute,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
50.17984508,0.420095556,199.9316787,7.267787594,71.80342787,148.8942296,138.327561,-0.280559958,Neutral Soil,Jute,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
26.5993415,0.755126234,122.3282807,5.815141701,61.71343766,53.45831231,65.78518409,1.989672034,Peaty Soil,pomegranate,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
23.70293056,0.45106053,95.39475763,7.442470772,62.14108096,144.7341046,107.8962421,2.312862135,Neutral Soil,pomegranate,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
36.51437139,0.76861323,127.0671499,6.124343635,69.32102199,74.35576463,67.33531552,2.569593452,Peaty Soil,Ground Nut,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
23.05650205,0.667515389,45.36472321,6.392795518,58.16846259,50.02047127,56.28140388,1.955598091,Acidic Soil,Cotton,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
30.89399627,0.61822022,92.43810868,6.432133729,56.43959902,52.05784003,55.32770539,1.64807205,Acidic Soil,mango,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
28.43150015,0.545204928,46.84218988,6.306802458,56.56825297,87.29787853,52.41567807,-0.280559958,Neutral Soil,Mung Bean,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
17.07647248,0.373587738,113.2268345,5.561102477,54.55515315,32.6924389,53.74489188,1.389865696,Acidic Soil,Kidney Beans,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
18.64855684,0.421589976,81.82239461,6.086218782,53.32190381,-37.64973873,52.32590562,1.72258055,Acidic Soil,maize,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
24.23195849,0.788280465,163.0637512,6.071203672,61.76007014,40.68423973,63.4762125,2.357839591,Peaty Soil,Coffee,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
26.20802006,0.475187707,66.19519762,6.151351263,56.13006154,68.33217228,59.39672536,1.886534557,Acidic Soil,watermelon,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
20.48900771,0.671633925,-85.70959335,6.148696629,80.84089747,40.32038861,159.5640307,2.562202543,Acidic Soil,Rubber,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
24.37277863,0.791331553,-85.70959335,7.05460407,74.62661636,151.7401252,147.5485129,1.707318897,Loamy Soil,rice,Balanced NPK Fertilizer,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
20.00264885,0.476327769,89.97641962,5.900289938,56.1886787,82.89695204,72.69171332,0.966201752,Acidic Soil,grapes,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
32.07663776,0.509797978,89.85996124,7.594472465,60.15414628,81.91814203,66.41923527,1.323328152,Neutral Soil,Black gram,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
27.95751353,0.411013335,133.184244,5.772254751,61.57885414,53.49640924,59.96071861,2.454068309,Acidic Soil,banana,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
24.78846999,0.697624456,74.10585266,6.115413934,55.18804997,52.62536931,43.98254247,2.427834992,Acidic Soil,Moth Beans,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
40.72276557,0.617885081,26.49561601,6.338990148,35.52771842,38.96863322,49.87953938,1.643031979,Acidic Soil,millet,Urea,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
20.52553858,0.972361206,124.9466051,4.298886076,54.98710915,33.31298632,51.32919497,1.995438106,Acidic Soil,Pigeon Peas,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
17.5256789,0.77501234,136.22632839,6.50456789,72.12345678,62.78901234,53.12345678,1.54456789,Neutral Soil,potatoes,Balanced NPK Fertilizer,"""Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."""
26.10180221,0.670245643,108.40212,6.308873177,60.85763437,88.56135373,62.63135008,0.907870349,Loamy Soil,maize,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
25.61799172,0.512282985,170.6761557,6.702769934,71.01797236,105.2081093,116.7366248,0.429834894,Neutral Soil,Jute,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
22.20182014,0.736088355,93.62622541,6.40431765,60.72725127,71.52806587,48.69295407,2.416664706,Peaty Soil,apple,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
34.23854457,0.76211535,370.4020498,4.720708438,98.58103894,36.40004777,73.1351315,-0.280559958,Peaty Soil,Rubber,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
24.95989477,0.437617084,111.8248706,5.827361906,61.34362144,56.10646521,59.62146181,2.111510457,Acidic Soil,pomegranate,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
50.17984508,0.775312356,306.0816006,6.461573549,60.16783692,91.94263869,76.7381147,1.934787466,Loamy Soil,pomegranate,Balanced NPK Fertilizer,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
25.31749635,0.438410958,57.04732535,8.82843282,56.05766424,60.43306784,48.45463421,1.81095546,Acidic Soil,watermelon,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
32.65831879,0.499772254,90.84082213,5.581593032,60.42125045,35.17783583,48.35550144,2.297234475,Acidic Soil,grapes,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
33.32988419,0.512472543,65.14393809,6.025131971,59.52858074,59.3801441,57.68483863,0.529935758,Acidic Soil,Ground Nut,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
22.27394399,0.695640511,262.5344497,6.465937566,78.38117347,60.13842735,94.05921112,3.241983684,Peaty Soil,rice,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
24.48579479,0.454386796,31.60180361,6.495979595,53.40511628,81.42093198,48.38096836,1.096477865,Acidic Soil,watermelon,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
18.1560695,0.972361206,108.3644522,7.3412623,63.27339114,156.7778603,118.1256134,2.145039952,Loamy Soil,pomegranate,Balanced NPK Fertilizer,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
54.87141873,0.469427905,121.629034,6.252056301,66.13176137,56.17397137,63.76639878,3.241983684,Acidic Soil,Adzuki Beans,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
44.31085195,0.457558286,38.31662211,6.631766151,50.46648235,49.70474337,61.38082356,1.801141776,Neutral Soil,millet,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
27.9822241,0.495965347,97.29020471,5.436257426,61.08939709,42.990315,44.86714508,2.21464559,Acidic Soil,banana,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
27.39988173,0.635281577,128.8617936,6.857763081,64.39819085,143.0510467,150.1419183,0.683897036,Neutral Soil,Sugarcane,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
50.17984508,0.470394323,68.26483704,6.202182293,54.81815801,49.40015443,44.96960537,-0.280559958,Acidic Soil,Tobacco,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
28.25578005,0.667803288,306.0816006,7.023267133,55.54412827,144.9334616,132.5754687,1.174954541,Loamy Soil,Mung Bean,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
31.87200533,0.758183848,76.80466084,6.109118679,58.99795303,55.75675369,49.15721936,1.637797049,Peaty Soil,Ground Nut,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
21.65137725,0.513160239,93.41357024,6.664144484,56.75149455,140.938239,139.4567745,0.746372214,Neutral Soil,maize,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
23.55187317,0.395606878,202.3024084,4.60422019,69.3137285,33.89772763,45.11361437,0.511472338,Acidic Soil,Tea,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
50.17984508,0.550013152,306.0816006,7.954405886,52.55284419,41.3005582,45.37265197,1.856778546,Peaty Soil,Lentil,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
27.4999674,0.779078152,58.80316507,7.260771121,56.70109334,149.2966894,154.3622611,1.096163262,Loamy Soil,Mung Bean,Balanced NPK Fertilizer,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
20.00783709,0.687059198,133.5097993,6.898827267,59.52448306,141.081545,138.308752,1.784393426,Loamy Soil,Coffee,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
19.3856789,0.75801234,135.91032745,5.70456789,57.78901234,49.12345678,40.78901234,1.31789012,Acidic Soil,potatoes,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
25.7546901,0.972361206,57.09160208,6.581898411,55.20259843,67.5243998,59.97639242,0.977340979,Acidic Soil,Cotton,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
23.4207004,0.427911866,61.27736456,3.908612908,57.85223571,73.10982868,45.72422916,1.083564959,Peaty Soil,Cotton,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
30.10795385,0.496548156,159.9961964,6.438045167,60.0354755,49.3532746,74.05132943,1.346557474,Acidic Soil,wheat,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
29.86236135,0.678426728,225.6376139,6.00271452,84.05865796,48.95677489,68.38447932,1.208737979,Acidic Soil,Coconut,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
50.17984508,0.634518286,124.0850828,6.339577764,61.28500678,55.89685713,62.24424942,0.908998285,Acidic Soil,Ground Nut,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
30.00308721,0.227436131,60.20365371,3.908612908,54.79079945,73.3181825,159.5640307,1.399578615,Loamy Soil,Black gram,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
20.04482365,0.753254968,97.08620323,5.740468813,59.97407426,38.0051808,50.46376239,0.479382582,Acidic Soil,pomegranate,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
17.79313896,0.725095451,135.2704295,5.992673544,53.29789335,39.82761004,56.90757774,1.164319512,Peaty Soil,Kidney Beans,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
23.99303916,0.765498761,84.45359941,6.969010381,59.20911032,142.3550273,148.2330859,0.536244102,Loamy Soil,Cotton,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
46.65787247,0.480682536,57.44205391,5.790178756,52.64422824,42.25328531,38.62261096,1.445815932,Acidic Soil,millet,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
29.2543183,0.698111049,103.2517619,5.795543676,56.68531952,33.03077828,53.47689519,1.922813311,Acidic Soil,Pigeon Peas,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
16.87596652,0.467203068,75.73415455,6.483107468,50.54648574,-37.64973873,74.41882287,1.214081316,Neutral Soil,Chickpea,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
18.60111447,0.468371484,22.48229565,6.4033407,52.6439655,24.44141753,48.77555339,1.120935109,Acidic Soil,Peas,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
26.05988987,0.602448168,66.49497908,6.101500936,55.97207181,65.62880137,38.57585624,1.033839561,Acidic Soil,watermelon,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
31.71649727,0.662538186,112.3258587,6.307514128,60.74701107,65.97938976,49.43271384,2.320992663,Peaty Soil,Ground Nut,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
30.31613313,0.547638217,69.841516,9.185047022,57.400623,46.13503262,38.46532508,2.092163988,Peaty Soil,Moth Beans,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
31.29814127,0.630395812,163.0009613,7.265074248,67.75449615,109.688803,105.4005036,1.098612661,Loamy Soil,Sugarcane,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
30.43588433,0.74302627,120.404186,7.514120528,67.60623873,109.4468303,87.96938626,0.398946884,Loamy Soil,orange,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
29.2419251,0.428640757,21.40716673,6.689720857,52.28083384,122.6924083,51.61613045,0.791765882,Neutral Soil,muskmelon,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
26.25014074,0.577857564,32.64591673,6.566216839,52.16650671,70.52875593,47.7795517,1.085193079,Acidic Soil,Lentil,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
17.13181051,0.526369346,70.90888912,6.076557032,55.19099607,43.47703142,35.66952723,1.841736162,Acidic Soil,Tobacco,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
26.71321253,0.635483722,216.5455256,4.746371905,67.54806331,42.57982375,57.23606619,0.988144046,Acidic Soil,Tea,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
27.61373703,0.570784689,78.99185834,7.143641519,55.85775289,153.6203173,127.4713507,2.169481635,Neutral Soil,wheat,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
35.18564452,0.509116713,69.98701317,7.720289822,58.58531436,63.28440506,56.65240563,1.657126046,Peaty Soil,Black gram,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
22.66546254,0.580552166,120.2444345,5.705608455,64.90127248,42.66109833,45.92525774,1.167694059,Acidic Soil,apple,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
33.17785075,0.47714962,119.2571459,6.259256407,63.43757324,51.90039243,70.09358138,2.522900255,Acidic Soil,Ground Nut,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
29.71036562,0.554551516,89.0109764,6.99969003,60.04306749,113.2852452,97.28062239,1.145698465,Neutral Soil,mango,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
26.24739887,0.440177364,172.2031851,4.785944123,65.62762616,42.09430741,49.20088215,2.196699974,Acidic Soil,Tea,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
22.49937421,0.493897598,186.0039436,4.48183997,63.32476628,40.42436485,159.5640307,0.741002151,Acidic Soil,Pigeon Peas,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
24.21525696,0.862345601,210.928948,5.881422125,69.57158895,52.91837936,73.13839352,1.096947542,Peaty Soil,rice,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
33.49147321,0.779567909,219.2582807,6.956961789,85.62424151,152.5965014,143.3702592,0.810381178,Loamy Soil,papaya,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
22.42943437,0.794453256,205.0280649,5.873306562,70.80821245,56.07798465,74.43336233,1.32627903,Peaty Soil,rice,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
29.12245273,0.707966109,157.8159798,8.146120767,66.51783221,52.9107608,52.96603215,1.587139804,Peaty Soil,Sugarcane,Gypsum,"Corrects alkaline soil, adds calcium and sulfur. Prefer this to lower soil pH and enhance soil structure."
23.06683108,0.508687593,113.8191677,6.844130633,64.39428538,120.5335358,-20.50910839,2.39094893,Neutral Soil,pomegranate,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
34.04036425,0.682279385,125.8692813,6.207612259,64.36812463,42.12591836,63.51789394,0.852186694,Acidic Soil,Ground Nut,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
17.14147463,0.446396067,45.09290834,6.485912904,52.0539784,24.81162873,58.28921815,1.612592447,Neutral Soil,Peas,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
24.4985771,0.469618879,43.7235021,6.762581638,55.82586549,161.2064586,126.4169136,1.367759488,Neutral Soil,Lentil,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
18.34890123,0.91345678,275.77890123,7.10123456,53.12345678,39.12345678,59.12345678,1.98789012,Neutral Soil,berseem clover,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
25.1935315,0.573399327,149.9727492,6.103679708,64.32391628,53.20511016,62.75574108,0.886124897,Acidic Soil,Jute,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
50.46608949,0.444437256,57.00326803,6.563592925,49.88704507,39.62778755,50.50261032,1.177057475,Acidic Soil,millet,Urea,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
27.48554585,0.616593058,44.06691195,6.590034582,52.07805599,81.67476897,52.81887649,1.957021028,Acidic Soil,Lentil,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
23.36932333,0.57895206,141.2528906,6.136837447,67.34073203,63.98507673,67.58672141,2.006241439,Acidic Soil,Coconut,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
45.07516986,0.740822905,38.88542774,6.337278841,51.76884701,39.36701257,57.33514131,1.283223507,Peaty Soil,millet,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
22.88839731,0.753303149,289.2416692,6.590039785,84.21767286,58.7762452,95.97033829,1.661811664,Peaty Soil,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
26.03237083,0.74153318,176.9416189,6.115012058,72.91832683,63.55498743,61.74036078,2.09977612,Peaty Soil,rice,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
19.52561966,0.518508058,285.0583892,5.539174098,72.8326295,44.32502954,66.01842528,1.520909804,Acidic Soil,Rubber,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
21.96272106,0.522769959,152.6508981,6.92065241,66.80615906,148.6665287,155.5818432,-0.280559958,Neutral Soil,Jute,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
27.19205271,0.576175258,59.94722512,5.843087204,54.06704491,41.20618139,47.08627702,1.914786057,Acidic Soil,Moth Beans,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
13.87072066,0.677268697,74.18512875,5.650625707,55.67837635,47.73881668,159.5640307,1.672501067,Acidic Soil,maize,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
28.47960552,0.502336583,32.97690783,6.680472372,86.96971052,114.3515524,54.59188049,1.620167301,Neutral Soil,Mung Bean,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
21.59603317,0.800348436,-85.70959335,7.078878415,59.62881717,112.630855,71.40020134,1.33926759,Loamy Soil,Cotton,Balanced NPK Fertilizer,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
25.62584099,0.617071405,110.3321274,7.17775286,59.25605124,159.0992853,134.2308266,1.25349154,Loamy Soil,Coffee,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
34.26059242,0.972361206,220.4462787,5.446740763,82.89480585,55.27341658,59.02506447,0.705777273,Acidic Soil,Rubber,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
21.61234567,0.79978901,150.69210481,5.20789012,53.45678901,43.78901234,53.45678901,1.18789012,Acidic Soil,potatoes,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
20.99853377,0.601545817,63.87339683,7.287819945,60.67494614,-37.64973873,-20.50910839,1.533423217,Loamy Soil,Cotton,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
